店舗名,電話番号,メールアドレス,都道府県,市区町村,番地,建物名,URL,SSL
旬の鮮魚と個室 楽の宴 神田総本店,03-5295-3686,,東京都,千代田区内神田,3-10-3,神田ロイヤルビルB1,,
全席個室 じぶんどき 有楽町日比谷店,050-2018-8863,,東京都,千代田区有楽町,1-6-8,松井ビル3～4F,https://jibundoki.dkdining.com/hibiya/,True
仙台牛タンと焼き鳥 完全個室居酒屋 昇和宴 神田駅前店,03-6635-1686,,東京都,千代田区神田鍛冶町,3-3-3,松見ビルB1,,
全席個室 夢や京町しずく 八重洲店,050-2018-8853,,東京都,中央区日本橋,3-2-17,日本橋三丁目ビル2F,https://kyomachi.dkdining.com/yaesu/,True
個室ダイニング ウメ子の家 新宿東口店,050-2018-8894,,東京都,新宿区新宿,3-17-5,ニュー富士ビル8・9F,https://umeko.dkdining.com/shinjyukuhigashi/,True
焼肉上野太昌園 別館,03-3831-5335,,東京都,台東区上野,2-5-4,,https://taishoen.co.jp/,True
個室完備中華 新荘園 田町ステーションタワーS店,03-6459-4858,,東京都,港区芝浦,3-1-21,msb Tamachi田町ステーションタワーS2F,,
やきとり家すみれ 新宿西口店,03-6279-0669,,東京都,新宿区西新宿,1-12-7,第二清新ビル4F,,
全席個室 楽蔵‐RAKUZO‐ 池袋西口店,050-2018-8898,,東京都,豊島区西池袋,1-21-1,YKDビル3F,https://rakuzo.dkdining.com/ikebukuro/,True
NO1焼肉しゃぶしゃぶ 新宿歌舞伎町店,03-6886-8513,,東京都,新宿区歌舞伎町,1-8-3,FCCビル1F,,
魚座 池袋店,03-6907-3936,,東京都,豊島区西池袋,1-23-6,B1F,,
新宿 完全個室居酒屋 AJI彩【弐号館】,03-6457-3036,,東京都,新宿区歌舞伎町,1-17-11,プレーンシティ新宿ビルB1,,
全席個室 楽蔵うたげ 八重洲店,050-2018-8849,,東京都,中央区日本橋,3-2-16,マスヤビル1～4Ｆ,https://rakuzo.dkdining.com/yaesu/,True
全席個室 和食や あたらよ 品川駅前店,050-2018-8899,,東京都,港区港南,2-6-9,DKビル6F,https://atarayo.dkdining.com/shinagawa/,True
蒸しと酒 みちる 品川駅前店,050-2018-8874,,東京都,港区港南,2-6-9,DKビル 7～8F,https://michiru.dkdining.com/shinagawa/,True
全席個室 鮨と酒日和 ととうお 新丸の内センタービル店,050-2018-8847,,東京都,千代田区丸の内,1-6-2,新丸の内センタービルディング3F,https://totouo.dkdining.com/marunouchi/,True
全席個室 ウメ子の家 日本橋八重洲店,050-2018-8852,,東京都,中央区日本橋,2-3-18,江間忠さくらビル3F,https://umeko.dkdining.com/nihonbashi/,True
丸安水産 新宿店,03-6273-2188,,東京都,新宿区新宿,3-35-9,永和商事ビル2F,,
魚と日本酒＆炭火焼き鳥 完全個室居酒屋 新橋商店 総本店,03-6380-4820,,東京都,港区新橋,4-19-1,新橋THビル1F,,
全席個室 楽蔵‐RAKUZO‐ 新宿東口店,050-2018-8895,,東京都,新宿区新宿,3-26-2,新宿第二ビル2F,https://rakuzo.dkdining.com/shinjuku/,True
全席個室 楽蔵うたげ 有楽町駅前店,050-2018-8861,,東京都,千代田区有楽町,2-3-5,aune有楽町3F,https://rakuzo.dkdining.com/yurakucho/,True
全席個室 湊一や 日本橋八重洲店,050-2018-8851,,東京都,中央区日本橋,2-3-4,日本橋プラザビル2F,https://minatoichiya.dkdining.com/nihonbashi/,True
全席個室 じぶんどき 浜松町駅前店,050-2018-8854,,東京都,港区浜松町,1-30-11,浜松町FGビル2F,https://jibundoki.dkdining.com/hamamatsucho/,True
完全個室 割烹むら山,042-626-7367,,東京都,八王子市三崎町,1-10,,,
旬鮮魚と国産地鶏 全席個室 地鶏の里 鶏極－とりき－ 新橋店,03-6380-4260,,東京都,港区新橋,3-16-37,F,,
厳選和牛焼肉 食べ放題 牛道 西口2号店,03-6912-8775,,東京都,豊島区池袋,2-8-51,F,,
響 八馬 新宿店,080-7520-5089,,東京都,新宿区歌舞伎町,1-6-3,東海苑ビル6F,,
完全個室 朝〆鮮魚×地鶏と地酒 和食処 とっとり新宿店,03-4323-8690,,東京都,新宿区歌舞伎町,1-6-3,東海苑ビル7F,,
完全個室居酒屋 福吉 新宿西口店,070-2675-8982,,東京都,新宿区西新宿,1-4-5,西新宿オークビル1F,,
大衆酒場 勝 大森本店,03-6681-8268,,東京都,大田区大森北,1-3-2,大森大樽ビル1F,,
全席扉付き完全個室 割烹料理 兜 立川店,03-4236-1106,,東京都,立川市曙町,2-13-10,エスキューブサウス 7F,,
全席個室 じぶんどき 上野駅前店,050-2018-8924,,東京都,台東区上野,4-10-5,ヒューリック上野公園前ビル3F,https://jibundoki.dkdining.com/ueno/,True
全席個室 じぶんどき 品川港南口店,050-2018-8872,,東京都,港区港南,2-5-14,カナーレ品川,https://jibundoki.dkdining.com/shinagawa/,True
全席個室 じぶんどき 秋葉原駅前店,050-2018-8917,,東京都,千代田区外神田,1-18-19,BiTO AKIBA 8F,https://jibundoki.dkdining.com/akihabara/,True
全席個室 楽蔵‐RAKUZO‐ 秋葉原駅前店,050-2018-8912,,東京都,千代田区神田佐久間町,1-16,ダイニングスクエア秋葉原ビル3F,https://rakuzo.dkdining.com/akihabara/,True
全席個室 楽蔵うたげ 渋谷駅前店,050-2018-8905,,東京都,渋谷区渋谷,1-24-12,渋谷東映プラザ6F,https://rakuzo.dkdining.com/shibuyaekimae/,True
